JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2459237.7213971,367.9135,0.1189,9.9857,0.0004,16.9650,2.14,g,G,bB
2459244.7102511,360.9628,0.2067,10.0064,0.0006,16.3645,2.22,g,G,bB
2459246.6640047,378.3944,0.4262,9.9552,0.0012,15.5785,1.43,g,G,br
2459247.615904,241.4041,0.6544,10.4432,0.0029,15.1130,1.44,g,G,br
2459254.5979908,441.1289,0.2194,9.7887,0.0005,16.2998,1.39,g,G,br
2459255.5733808,452.1788,0.2650,9.7618,0.0006,16.0946,1.46,g,G,br
2459256.6309697,370.1051,0.3656,9.9793,0.0011,15.7452,1.45,g,G,br
2459270.582747,404.8899,0.2946,9.8817,0.0008,15.9794,1.50,g,G,br
2459274.5869661,276.1249,0.6402,10.2973,0.0025,15.1368,1.49,g,G,br
2459276.5803584,456.3855,0.7010,9.7517,0.0017,15.0384,2.38,g,B,br
2459277.5770409,347.7340,0.6223,10.0469,0.0019,15.1677,2.20,g,B,br
2459357.1159845,265.8270,0.5326,10.3386,0.0022,15.3366,2.13,g,G,bB
2459359.1128615,301.4901,0.3952,10.2019,0.0014,15.6606,2.02,g,G,bB
